LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ438-0072|where a town was laid out in the Dutch fashion, with canals for streets.
LJ438-0073|This island is still the business centre of the city, though the canals have long since disappeared.
LJ438-0074|The streets of St. Petersburg for many years continued unpaved, notwithstanding the marshy character of the soil, and in the early days
LJ438-0075|The nobles were obliged to build palaces in it,— very much to their chagrin.
LJ438-0076|They hated St. Petersburg as cordially as Peter hated Moscow.
LJ438-0077|They already had large and elegant mansions in the latter city, and had little relish for building new ones in this desert capital, four hundred miles to the north.
LJ438-0078|Every proprietor whose estate held five hundred serfs was ordered to build a stone house of two stories in the new city.
LJ438-0079|Those of greater wealth had to build more pretentious edifices.
LJ438-0080|Peter's own taste in architecture was not good. He loved low and small rooms.
LJ438-0081|None of his palaces were fine buildings. In building the Winter Palace,
LJ438-0082|The city under way, the question of its defence became prominent.
LJ438-0083|Peter himself explored and measured the depth of water in the Gulf of Finland.
LJ438-0084|A fort was begun in the water near the island's shores, stone being sunk for its foundation.
LJ438-0085|With the idea of making this his commercial port, Peter had many stone warehouses built on the island, most of which soon fell into decay for want of use.
LJ438-0086|In those early days, however, St. Petersburg was designed to be the centre of commerce, and Peter took what means be could
LJ438-0087|It arrived in November, 1703, and Peter himself served as pilot to bring it up to the town.
LJ438-0088|And Peter's delight was equally great on learning that the ship had been freighted by Cornelis Calf, one of his old Zaandam friends.
LJ438-0089|Two other ships appeared the same year, one Dutch and one English, and their skippers and crews received the same reward.
LJ438-0090|These pioneer vessels were exempted forever from all tolls and dues at that port.
LJ438-0091|St. Petersburg, as it exists today, bears very little resemblance to the city of Peter's plan.
LJ438-0092|To his successors are due the splendid granite quays, which aid in keeping out the overflowing stream,
LJ438-0093|The marshy island soil has been lifted by two centuries of accretions, while the main city has crept up from its old location to the mainland,
LJ438-0094|St. Petersburg is still exposed to yearly peril by overflow.
LJ438-0095|The violent autumnal storms, driving the waters of the gulf into the channel of the stream, back up terrible floods.
LJ438-0096|The spring-time rise in the lakes which feed the Neva threatens similar disaster.
LJ438-0097|Of the floods that have desolated the city, the greatest was that of November, 1824.
LJ438-0098|Driven into the river's mouth by a furious southwest storm. the waters of the gulf were heaped up to the first stories of the houses
LJ438-0099|Horses and carriages were swept away;
LJ438-0100|bridges were torn loose and floated off;
LJ438-0101|numbers of houses were moved from their foundations;
LJ438-0102|a full regiment of carbineers, who had taken refuge on the roof of their barracks, perished in the furious torrent.
LJ438-0103|At Cronstadt the waters rose so high that a hundred-gun ship was left stranded in the market-place.
LJ438-0104|Standing on the balcony which looks up the Neva, surrounded by his weeping family,
LJ438-0105|he saw with deep dismay wrecks of every kind, bridges and merchandise, horses and cattle, and houses peopled with
LJ438-0106|Boats were overturned and emptied their crews into the stream.
LJ438-0107|Some who escaped death by drowning died from the bitter cold as they floated downward on vessels or rafts.
LJ438-0108|The official reports of this disaster state that forty-five hundred of the people perished,—
LJ438-0109|probably not half the true figure.
LJ438-0110|Such was one example of the inheritance left by Peter the Great to the dwellers in his favorite city, his
LJ439-0001|The reign of Peter the Great was signalized by two notable instances of the rise of persons from the lowest to the highest estate, ability
LJ439-0002|The boy was destitute of education, but he had inherited a musical voice and a lively manner, which stood him in good stead
LJ439-0003|He could sing a ballad in taking style, and became so widely known for his songs and stories
LJ439-0004|young Mentchikof overheard the master of the house give special directions to his cook about a dish of meat of which he said
LJ439-0005|and noticed that he furtively dropped a powder of some kind into it, as if by way of spice.
LJ439-0006|This act seemed suspicious to the acute lad.
LJ439-0007|Noting particularly the composition of the dish, he betook himself to the street, where he began again to exalt the merits of his pies
LJ439-0008|He kept in the vicinity of the boyar's house until the czar arrived, when he raised his voice to its highest pitch and began to sing vociferously.
LJ439-0009|"""I have orders only to sell the pies,"" replied the shrewd vender:"
LJ439-0010|"""I cannot sell the basket without asking my master's leave."
LJ439-0011|"But, as everything in Russia belongs to your majesty, you have only to lay on me your commands."""
LJ439-0012|as it was just the result for which he had hoped.
LJ439-0013|The boy thereupon leaned forward and whispered in the monarch's ear, begging him not to eat of that dish.
LJ439-0014|Surprised at this request, and quick to suspect something wrong,
LJ439-0015|"""What do you mean?"" he asked."
LJ439-0016|"""Why should I not eat of that particular dish?"""
LJ439-0017|"""Because I am afraid it is not all right,"""
LJ439-0018|"""I was in the kitchen while it was being prepared, and saw the boyar, when the cook's back was turned, drop a powder into the dish."
LJ439-0019|"I do not know what all this meant, but thought it my duty to put your majesty on your guard."""
LJ439-0020|Peter returned to the, table with his wonted cheerfulness of countenance, giving no indication that he had heard anything unusual.
LJ439-0021|"""I should like your majesty to try that dish,"" said the boyar: ""I fancy that you will find it very good."""
LJ439-0022|"""Come sit here beside me,"" suggested Peter."
LJ439-0023|It was the custom at that time in Moscow for the master of a house to wait on the table when he entertained guests.
LJ439-0024|Peter put some of the questionable dish on a plate and placed it before his host.
LJ439-0025|"""No doubt it is good,"" he said."
LJ439-0026|"""Try some of it yourself and set me an example."""
LJ439-0027|This request threw the host into a state of the utmost confusion, and with trembling utterance
LJ439-0028|"""It is becoming to a dog, if I wish it,"""
LJ439-0029|answered Peter, and he set the plate on the floor before a dog which was in the room.
LJ439-0030|We do not vouch for the truth of this interesting story.
LJ439-0031|Though told by a writer of Peter's time, it is doubted by late historians.
LJ439-0032|But such is the fate of the best stories afloat, and the voice of doubt threatens to rob history of much of its romance.
LJ439-0033|He accompanied Peter in his travels, worked with him in Holland, and distinguished himself in the wars with the Swedes,
LJ439-0034|In 1704 he was given the rank of general, and was the first to defeat the Swedes in a pitched battle.
LJ439-0035|His house in Moscow was magnificent, his banquets were gorgeous with gold and silver plate,
LJ439-0036|Such was the bright side of the picture.
LJ439-0037|The dark side was one of extortion and robbery, in which the favorite of the czar out-did in peculation all the other officials of the realm.
LJ439-0038|Peculation in Russia, indeed, assumed enormous proportions, but this was a crime towards which Peter did not manifest his usual severity.
LJ439-0039|The most they ventured to do was to draw up a statement of his peculations and lay the paper on the table at the czar's seat.
LJ439-0040|One day as he sat in the senate, the senator Tolstoy, who sat beside him, was bold enough to ask him what he thought of that document.
LJ439-0041|The death of Peter placed the favorite in a precarious position.
LJ439-0042|He had a host of enemies, who would have rejoiced in his downfall.
LJ439-0043|Under her the pastry-cook's boy rose to the summit of his power and virtually governed the country.
LJ439-0044|And now for a time the favorite soared higher than ever, was practically lord of the land, and made himself more feared
LJ439-0045|But he had reached the verge of a precipice.
LJ439-0046|Events moved fast.
LJ439-0047|Soon after he was arrested, the shock of the disgrace bringing on an apoplectic stroke.
LJ439-0048|he was ordered to retire to his estate, and soon after was banished, with his whole family, to Siberia.
LJ439-0049|This was in 1727.
LJ439-0050|The disgraced favorite survived his exile but two years, dying of apoplexy in 1729.
LJ439-0051|There are various instances in history of a woman of low estate being chosen to share a monarch's throne, but only one,
LJ439-0052|that of Catharine of Russia, in which a poor stranger, taken from among the ruins of a plundered town, became eventually
LJ439-0053|It was in 1702, during the sharply contested war between Russia and Sweden, that
LJ439-0054|Among the Russian successes was the capture of a small town named Marienburg, which surrendered at discretion, but
LJ439-0055|This behavior so provoked the Russian general that he gave orders for the town to be destroyed and all its inhabitants to be carried off.
LJ439-0056|Her married life was a short one, her husband being obliged to leave her in two days to join his regiment.
LJ439-0057|She never saw him again.
LJ439-0058|She was, however, handsome and attractive, delicate and well formed, and of a most excellent temper,
LJ439-0059|being never known to be out of humor, while she was obliging and civil to all, and after her exaltation
LJ439-0060|As for her first husband, she sent him sums of money until 1705, when he was killed in battle.
LJ439-0061|Struck by her beauty and good sense, Peter took her to his palace, where,
LJ439-0062|In 1711 this was supplemented by a public wedding.
LJ439-0063|He was at war with the Turks, and, through a foolish contempt for their generalship and military skill, allowed himself to fall into a trap
LJ439-0064|From this dilemma Catharine, who was in the camp, relieved him.
LJ439-0065|Collecting a large sum of money and presents of jewelry, and seeking the camp of the enemy, she succeeded in bribing the Turkish general,
LJ439-0066|Peter repaid his able wife by conferring upon her the dignity of empress.
LJ439-0067|her former lord and master,
LJ439-0068|aided by the effect of her seemingly inconsolable grief and the judicious distribution of money and jewels as presents.
LJ439-0069|and who were now virtually together on the throne, were the unquestioned autocrats of Russia.
LJ439-0070|Catharine had no genius for government, and left the control of affairs to her minister, who was to all intents and purposes sovereign of Russia.
LJ439-0071|The empress, meanwhile, passed her days in vice and dissipation, thereby hastening her end.
LJ439-0072|She died in 1727, at the age of about forty years.
LJ439-0073|In the same year, as already stated, the man who had grown great with her fell from his high estate.
LJ337-0001|While the armies of Catharine II. were threatening with destruction the empire of Turkey, and her diplomats were deciding what part of dismembered Poland
LJ337-0002|should fall to her share, her throne itself was put in danger of destruction by an aspirant who arose in the east
LJ337-0003|The summary manner in which Peter III. had been removed from the throne was not relished by the people.
LJ337-0004|Numerous small revolts broke out, which were successively put down.
LJ337-0005|St. Petersburg accepted Catharine, but Moscow did not, and on her visits to the latter city the political atmosphere proved so frigid
LJ337-0006|Years passed before Russia settled down to full acceptance of a reign begun in violence and sustained by force, and in this interval
LJ337-0007|but whose face seemed capable of calling up an army wherever it appeared, and who, if his ability had been equal to his fortune,
LJ337-0008|Here he was told that he bore a striking resemblance to Peter III.
LJ337-0009|The hint was enough.
LJ337-0010|He returned to Russia, where he professed sanctity,
LJ337-0011|He soon gained adherents among the old orthodox party, who were bitter against the religious looseness of the court.
LJ337-0012|Finally he gave himself out as Peter III., declaring that the story of his death was false,
LJ337-0013|that he had escaped from the hands of the assassins, and that he desired to win the throne, not for himself, but for his infant son Paul.
LJ337-0014|The first result of this announcement
LJ337-0015|But the carelessness of his guards allowed him to escape front his prison cell, and he made his way to the Volga, near its entrance into the Caspian Sea,
LJ337-0016|Yet he contrived to gather about him an army of several thousand men, and obtained a considerable number of cannon,
LJ337-0017|These victories gave him new assurance.
LJ337-0018|He now caused money to be coined in his name, as though he were the lawful emperor, and marched northward at the head of a large force
LJ337-0019|His army was destitute of order or discipline and he woefully deficient in military skill,
LJ337-0020|yet his proclamation of freedom to the people, and the opportunities he gave them for plunder and outrage, strengthened his hands,
LJ337-0021|The Tartars, Kirghis, and Bashkirs, who had been brought against their will under the Russian yoke, flocked to his standard,
LJ337-0022|Many of the Poles who had been banished from their country also sought his ranks,
LJ337-0023|and the people of Moscow and its vicinity, who had from the first been opposed to Catharine's reign,
LJ337-0024|waited his approach that they might break out in open rebellion.
LJ337-0025|As it was, his followers showed a fiery valor, and, undisciplined as they were, gave the armies of the empire no small concern.
LJ337-0026|Prince Galitzin defeated him twice, the last time after a furious battle six hours in length.
LJ337-0027|Between the beginning of March and the end of May, 1774,
LJ337-0028|in the end being driven as a fugitive to the Ural Mountains.
LJ337-0029|But he had only to raise his standard again for fresh armies to spring up as if from the ground, and
LJ337-0030|Defeated on June 4, he fled once more to the hills, but in the beginning of July
LJ337-0031|Only the cruelty shown by himself and his followers, and his ruthlessness in permitting the plunder and burning of churches and convents,
LJ337-0032|And at this critical moment in his career he committed the signal error of failing to march on Moscow,
LJ337-0033|took the city, but failed to capture the citadel.
LJ337-0034|Here he was making havoc with fire and sword, when Michelson came up and defeated him in a long and obstinate fight.
LJ337-0035|He now fled to the Volga, wasting the land as he went, burning the crops and villages, and leaving desolation in his track.
LJ337-0036|Men came in numbers to replace those he had lost, and an army of twenty thousand was soon again under his command.
LJ337-0037|hearing that an astronomer from the Imperial Academy of Sciences of St. Petersburg was near by,
LJ337-0038|When the peaceful astronomer appeared,
LJ337-0039|Here Michelson came up on the 22nd of August and forced him to raise the siege.
LJ337-0040|On the 24th the insurgents were attacked when in the intricate passes of the mountains and encumbered with baggage-wagons, women, and camp-followers.
LJ337-0041|Though thus taken at a disadvantage, they defended themselves vigorously,
LJ337-0042|the mass of them falling in the mountain passes or being driven over the cliffs and precipices.
LJ337-0043|Only about sixty of his most faithful partisans accompanied him in his flight.
LJ337-0044|Michelson, failing to reach him in his retreat, took care that he should not emerge into the cultivated districts.
LJ337-0045|These were then set free, and sought the desert retreat of their late leader, where they awaited an opportunity to take him by surprise.
LJ337-0046|This they were not able to do until November.
LJ337-0047|Perceiving that treachery was intended, be drew his pistol and fired at his foes, shattering the arm of the foremost.
LJ337-0048|On the way be sought to starve himself, but was forced to eat by the soldiers.
LJ337-0049|With unyielding resolution
LJ337-0050|Four of his principal followers suffered the same fate, and thus ended one of the most determined efforts on the part of an impostor
LJ337-0051|Had he combined military capacity with his daring he could readily have won the throne.
LJ339-0001|When we remember either the general appearance or the way in which a cabbage or a turnip appears to exist, it does not seem possible to call them active.
LJ339-0002|It is difficult to imagine anything less lively than an ordinary vegetable.
LJ339-0003|They seem to us the very model of dullness, stupidity, and slowness; they cannot move even from one field to the next;
LJ339-0004|"""they languidly adjust their vapid vegetable loves"" like Tennyson's Oak."
LJ339-0005|In fact one usually speaks of vegetating when anybody is living a particularly dull, unexciting kind of life in one particular place.
LJ339-0006|And it even seems as if the books, which are supposed to give us the best information about the study of plants, and which are not very attractive little books,
LJ339-0007|"For one finds in them that plants differ from animals in being ""incapable of motion."""
LJ339-0008|This, of course, just means that an animal, or rather most animals, can walk, swim, or fly about,
LJ339-0009|But it is not true to say that plants cannot move, for most plants grow, which means that they move, and in some few cases,
LJ339-0010|We shall have to speak about tendrils, roots, and insect-catching plants later on. But it is perhaps the Sensitive Plant
LJ339-0011|It will be described in its place, but just to show that this plant can move of its own accord,
LJ339-0012|It is supposed that this movement frightens a grazing animal, who will imagine there is something uncanny about the plant and leave it alone.
LJ339-0013|There are many respects in which this reaction of the Sensitive Plant resembles that found in animals.
LJ339-0014|It does not take place if the plant is chloroformed or treated with ether;
LJ339-0015|"the leaves also get ""fatigued"" if too often handled, and refuse to rise up again."
LJ339-0016|There are, however, only a very few plants in which an immediate, visible answer to a stimulus can be detected.
LJ339-0017|But all plants are at work;
LJ339-0018|they have periods of rest which correspond to our sleep, but during their ordinary working hours they never slacken off,
LJ339-0019|The life of man is so short that it is difficult to realize all that is being done by the world of plants.
LJ339-0020|It is necessary to get beyond our human ideas of time.
LJ339-0021|That is most conveniently done by considering how our plant world would strike an inhabitant of the planet Neptune.
LJ339-0022|Our theoretical Neptunian would be accustomed to a year of 60,127 days
LJ339-0023|we will suppose that three of our years are a Neptunian week, and that ten of our days
LJ339-0024|If such a being were to observe our earth, he would be astonished at the rapidity of our vegetable world.
LJ339-0025|The buds would seem to him to swell visibly;
LJ339-0026|in the course of an hour or two, the bare boughs of the trees would clothe themselves with the luxuriant greenery of midsummer.
LJ339-0027|Hops would fly round and round their poles, climbing at the rate of a foot a minute.
LJ339-0028|Bare places, such as the gravel heaps near a sandpit, or the bare railroad tracks at a siding, would be perhaps in one week
LJ339-0029|In six Neptunian months a forest of graceful larches would spring up to a height of seventy or eighty feet.
LJ339-0030|So that, if one thinks Neptunially, the activity of plants can be easily realized.
LJ339-0031|The truth is that we are so familiar with common annual events, such as the regular harvest every year, that we never seem to realize what it means.
LJ339-0032|There are some 1,400,000,000 human beings on the earth today,
LJ339-0033|In 1897 we grew enough corn to give a ration of 1lb. per diem to every inhabitant for 68 days,
LJ339-0034|In most other countries the relative importance of land and of agriculture generally is very much greater than it is in Britain.
LJ339-0035|A piece of wood can be burnt up in a fire and very little indeed of it is left. A few ashes will indeed remain,
LJ339-0036|The water which was contained in the wood has become steam and is evaporated;
LJ339-0037|the woody matter consisted chiefly of compounds of a chemical substance, carbon, which also becomes an invisible gas (carbonic acid gas)
LJ339-0038|When the piece of wood was formed in a growing tree, it is easy to see where the water came from: it was taken in by the roots.
LJ339-0039|Just as flowers drink up the water in a vase, and wither if they do not receive enough,
LJ339-0040|so all plants suck up water by their roots.
LJ339-0041|The carbonic acid gas is taken into plants through their leaves and is worked up into sugar, starch, wood,
LJ339-0042|But there is another very interesting point about the way in which wood is burnt in a fire;
LJ339-0043|Where did that heat and light come from?
LJ339-0044|If you walk in summer, under a tree in full leaf, it is much cooler than it is in the sunshine outside.
LJ339-0045|This shows what happens: the sunshine has been taken up or absorbed by the leaves of the tree.
LJ339-0046|The light and heat which were used up by the leaves in making wood, sugar, and starch come back again when that wood or starch is burnt.
LJ339-0047|So that the burning up of a bit of wood is just the opposite to the formation of that wood in sunshine in a living tree.
LJ339-0048|The important point is that it is the sunshine which is used by plants to make all these refractory bodies, such as water,
LJ339-0049|As the earth revolves upon its axis, sunlight falls successively on every acre of land.
LJ339-0050|Almost everywhere it is intercepted by green foliage.
LJ339-0051|Each leaf of every plant receives and absorbs as much as it can, and, for so long as the light lasts,
LJ339-0052|water or sap is hurrying up the stem and streaming out of the leaves as water vapour.
LJ339-0053|Carbonic acid gas also is hurrying into the leaves;
LJ339-0054|inside these latter first sugar and then starch is being manufactured, so that the green cells become filled with starch or sugar.
LJ339-0055|So soon as the light fails, the work begins to slacken.
LJ339-0056|When darkness sets in, the starch changes to sugar and passes down the leaf-stalk into the stem, where it is used up in growth,
LJ339-0057|It is very difficult to understand what is going on inside the leaf.
LJ339-0058|If you were to imagine a square yard of leaves all taking in sunshine and making starch as they do in fine weather;
LJ339-0059|then if you weighed all these leaves, and then weighed them again one hour after they had been in the sunshine, of course
LJ339-0060|The amount actually made in one hour has been estimated by Dr. Horace Brown as one 500th pound.
LJ339-0061|So that 100 square yards of leaves working in sunshine for five hours might make one pound of starch.
LJ339-0062|Look at the amount of work done by the Grass, etc., on an acre of pasture land in one year.
LJ339-0063|This might entirely support a cow and calf during the summer;
LJ339-0064|all the work done by these animals, as well as all the work which can be done on the beef which they put on,
LJ339-0065|Moreover it is not only these large animals that are supported, but every mouse, every bird, every insect,
LJ339-0066|All work which we do with our brains or muscles involves the consumption of food which has been formed by plants under the warm rays of the sun.
LJ339-0067|So that man's thoughts and labour, as well as that of every living creature, is in the first instance rendered possible by sunshine.
LJ339-0068|But the sunlight, besides this all-important function, affects plants in other ways.
LJ339-0069|One of the most interesting of the early spring flowers is the Coltsfoot.
LJ339-0070|On bare blackish and unsightly heaps of shale one may see quantities of its golden blossoms.
LJ339-0071|Now if one looks at them on a fine sunny day, every single blossom will be widely opened and each will turn towards the sun.
LJ339-0072|In wet cold weather every blossom will hang its head and be tightly closed up.
LJ339-0073|Exactly the same may be observed with the Dandelion, which is, indeed, still more sensitive than the Coltsfoot.
LJ339-0074|In cold wet weather it is so tightly closed that it is barely possible to make out the yellow colour of the flower,
LJ339-0075|but on warm sunny days it opens wide:
LJ339-0076|every one of its florets drinks in as much as possible of the genial sunshine.
LJ339-0077|On a fine day they spread out widely, but in cold wet weather the heads hang over and the whole flower shrinks together.
LJ339-0078|Perhaps the most interesting of them all are the little Woodsorrel and the Crocus.
LJ339-0079|Both are exceedingly sensitive to sunlight, or rather to the cold.
LJ339-0080|A mere cloud passing over the sun on a fine spring morning will close up the flowers of the Crocus.
LJ339-0081|In cold weather, if you bring one of its flowers indoors and put it near a bright light it will open widely, sometimes in a few minutes.
LJ339-0082|What produces these changes?
LJ339-0083|In cold wet weather the flowers are best closed, as the rain might injure the florets and because also no insects are abroad.
LJ339-0084|For the stalk of every separate blossom bends so that its head turns to the best lighted or sunniest side.
LJ339-0085|Thus, if you have Foxgloves planted against a wall, every flower will turn away from it;
LJ339-0086|if you plant them in a circular bed, every one turns to the outside, so that every flower can get the sunlight.
LJ339-0087|Everyone who has kept plants in a window knows that the stems turn towards the light.
LJ339-0088|This has the effect of placing the leaves where they can get as much sunshine as possible.
LJ339-0089|The leaves themselves are also affected by sunlight.
LJ339-0090|They seem to stretch out in such a way that they absorb as much of it as they can.
LJ339-0091|That, of course, is what they ought to do, for they want to obtain as much as possible of the sunlight
LJ339-0092|Not only each leaf by itself endeavours to place itself in the best light-position, but all the leaves on the same spray of, for instance, Elm,
LJ339-0093|Very little light is lost by escaping between the leaves, and very few of the leaves are overshaded by their neighbours on the same branch.
LJ339-0094|Thus all co-operate in sunlight-catching.
LJ339-0095|their leaves try to overreach and get beyond their neighbours.
LJ339-0096|On such a square yard of ground, it is just the competition amongst the plants, that makes it certain
LJ339-0097|Every one of all those plants of itself alters the slope of its leaves and turns its stems so as to get as much light as possible.
LJ339-0098|It is used to make the gas, carbonic acid, unite with water:
LJ339-0099|when these are made to join together, they form sugar;
LJ339-0100|if the sugar is burnt the heat and light appear again.
LJ339-0101|By changing the amount and arrangement of the molecules in sugar,
LJ339-0102|starch or vegetable fats, and many other substances can be formed.
LJ339-0103|But it is the sunlight that makes all this possible.
LJ339-0104|Thus the sun not merely supplies the motive power for all animal and vegetable activity but, by its influence, flowers,
LJ339-0105|The sunlight, though all-important in the life of most plants, kills many kinds of bacteria and bacilli which love the darkness.
LJ339-0106|The well-known radium rays are also destructive to bacteria, and hinder the growth of certain fungi
LJ339-0107|The X-rays are not so well understood, but one can close the leaflets of the Sensitive Plant by means of them.
LJ339-0108|Carbonic acid gas forms but a small proportion of the atmosphere which surrounds a growing plant.
LJ339-0109|Yet there is no lack of it, for when the leaf is at work forming sugar the particles of gas are rushing into the leaf,
LJ339-0110|Every fire and every breath given off by an animal yields up carbonic acid, so that it is constantly in circulation.
LJ339-0111|This is more easily seen by tracing the probable history of an atom of carbon.
LJ339-0112|We will suppose that it enters a grass leaf as carbonic acid gas and becomes starch:
LJ339-0113|next evening it will become sugar and may pass from cell to cell up the stem to where the fruit or grain is ripening.
LJ339-0114|It will be stored up as starch in the grain.
LJ339-0115|The starch is changed and may be stored up in the fat of the animal's body.
LJ339-0116|When this is eaten at somebody's dinner, the fat will most probably be consumed or broken up;
LJ339-0117|this breaking up may be compared to a fire, for heat is given off, and the heat in this case will keep up the body-temperature of the person.
LJ339-0118|The carbon atom will again become carbonic acid gas, for it will take part of the oxygen breathed in,
LJ339-0119|Another atom of carbon might enter the leaves of a tree:
LJ339-0120|as sugar it will go to assist in forming woody material.
LJ339-0121|then the tree falls and its wood begins to decay.
LJ339-0122|The bark begins to break and split because beetles and woodlice and centipedes are burrowing between the bark and the wood.
LJ339-0123|very likely sticking to the legs of a beetle.
LJ339-0124|This will germinate and begin to give out dissolving ferments which, with the aid of bacteria, attack the wood.
LJ339-0125|Our carbon atom is probably absorbed into the fungus.
LJ339-0126|Very soon the mushroom-like heads of this fungus begin to swell and elongate;
LJ339-0127|they burst through the bark and form a clump of reddish-yellow Paddock-stools.
LJ339-0128|A fly comes to the fungus and lays an egg in it.
LJ339-0129|This egg becomes a fat, unpleasant little maggot which eats the fungus, and amongst others devours our carbon atom,
LJ339-0130|Then a tomtit or other small bird comes along and eats the maggot.
LJ339-0131|That bird stays out too late one evening and is eaten by an owl.
LJ339-0132|The owl, satisfied with a good meal, allows itself to be surprised and shot by a keeper.
LJ339-0133|the carbon atom again takes up oxygen and becomes carbonic acid gas, which escapes into the atmosphere,
LJ339-0134|We must now consider the water which with carbonic acid gas makes up sugar, etc.
LJ339-0135|All plants contain a large percentage of water.
LJ339-0136|This may be as much as 95 to 98 percent in water plants, and 50 to 70 percent in ordinary tissues;
LJ339-0137|it is contained in every sort of vegetable substance.
LJ339-0138|But there is also a stream of water or sap which is almost always entering the roots, rising up the stem, and passing into the leaves.
LJ339-0139|On these leaves there are hundreds of minute openings called stomata, by which the water escapes as water-vapour into the atmosphere.
LJ339-0140|A single oak leaf may have 2,000,000 of these stomata.
LJ339-0141|It is this current of sap which keeps the leaf fresh and vigorous;
LJ339-0142|it is also by this current that every living cell is supplied with water and kept in a strong, healthy condition.
LJ339-0143|The amount of water used in this way is very great;
LJ339-0144|in four months an acre of cabbages will transpire or give out through its leaves
LJ339-0145|A single oak tree, supposed to have 700,000 leaves, must apparently have given off into the atmosphere during five months
LJ339-0146|Sometimes the water is so abundant in the plant that it collects as drops on the tips of the leaves and falls off as fluid water.
LJ339-0147|The water is found stored up in the stems or leaves of plants, especially those of hot or dry climates.
LJ339-0148|The usual story is to the effect that a panting traveller finds this palm in the middle of the desert,
LJ339-0149|Unfortunately the tree never grows far from marshy ground or springs, and the water, which I tasted for curiosity,
LJ339-0150|These are, of course, exceptional cases;
LJ339-0151|as a rule the tiny root-hairs search and explore the soil;
LJ339-0152|the sap or ascending current passes up the stem and pours out into the atmosphere.
LJ339-0153|There the vapour is hurried off by winds, and eventually condenses and, falling as snow or rain on the earth,
LJ339-0154|It is very difficult to understand how the sap or water rises in the trunks of tall trees;
LJ339-0155|we know that along the path of the sap inside, the root-hairs and other cells in the root, the various cells in the stem,
LJ339-0156|All these living cells seem to have the power of absorbing or sucking in water, and eventually they are so full and distended within,
LJ339-0157|Dixon, when experimenting with leaf-cells, found ten, twenty, or even thirty atmospheres
LJ339-0158|No locomotive engine has cylinders strong enough to resist such internal pressures as these.
LJ339-0159|Yet these minute living cells not only exist but work at this high tension, and, in some cases, they live to about fifty years.
LJ339-0160|But in Italy or Greece, every drop of it is valuable and carefully husbanded.
LJ339-0161|Sometimes in such arid dry countries, a small spring of water will form around itself a refreshing oasis of greenery
LJ339-0162|All the plants in such a spot have their own special work to do:
LJ339-0163|the graceful trees which shade the spring, the green mosses on the stones, the fresh grass and bright flowers or waving reeds,
LJ339-0164|They protect and shelter each other;
LJ339-0165|their dead leaves are used to form soil;
LJ339-0166|their roots explore and break up the ground. It is true that they are competing with one another for water and for light,
LJ339-0167|But every living cell in every plant in such an oasis depends upon the water of the spring.
LJ339-0168|All the plants there form an association which can be quite well compared to a city or some other association of human beings.
LJ339-0169|Most plant societies or associations such as those which cover Great Britain are not so obviously dependent on one particular spring,
LJ222-0001|"""The murmuring pines and the hemlocks Stand like harpers hoar with beards that rest on their bosom."""
LJ222-0002|"Of course the Hemlock here alluded to is not the ""hemlock rank growing on the weedy bank,"" which the cow is adjured not to eat in Wordsworth's well-known lines."
LJ222-0003|"(If the animal had, however, obeyed the poet's wishes and eaten ""mellow cowslips,"" it would probably have been seriously ill.)"
LJ222-0004|"The ""Hemlock"" is the Hemlock spruce, a fine handsome tree which is common in the forests of Eastern North America."
LJ222-0005|These primeval forests of Pine and Fir and Spruce have always taken the fancy of poets.
LJ222-0006|They are found covering craggy and almost inaccessible mountain valleys;
LJ222-0007|even a tourist travelling by train cannot but be impressed by their sombre, gloomy monotony,
LJ222-0008|by their obstinacy in growing on rocky precipices on the worst possible soil, in spite of storm and snow.
LJ222-0009|But to realize the romance of a Pine forest, it is necessary to tramp, as in Germany one sometimes has to do, for thirty miles through one
LJ222-0010|The ground is covered with brown, dead needles, on which scarcely even green moss can manage to live.
LJ222-0011|Then one realizes the irritating monotony of the branches of Pines and Spruces,
LJ222-0012|and their sombre, dark green foliage produces a morose depression of spirit.
LJ222-0013|From its very earliest infancy a young Pine has a very hard time.
LJ222-0014|The Pine-cones remain on the tree for two years.
LJ222-0015|The seeds inside are slowly maturing all this while, and the cone-scales are so welded or soldered together by resin and turpentine
LJ222-0016|How thorough is the protection thus afforded to the young seeds, can only be understood if one takes a one-year-old
LJ222-0017|It does not matter what is used; it may be a saw, a chisel, a hammer, or an axe: the little elastic, woody,
LJ222-0018|When these two years have elapsed, the stalk of the cone grows so that the scales are separated, and the seeds become rapidly dry
LJ222-0019|These seeds are most beautiful and exquisitely fashioned.
LJ222-0020|The seed itself is small and flattened.
LJ222-0021|It contains both resin and food material, and is enclosed in a tough leathery skin which is carried out beyond the seed
LJ222-0022|This wing or screw is intended to give the seed as long a flight in the air as possible before it reaches the ground.
LJ222-0023|If you watch them falling from the tree, or throw one up into the air and observe it attentively,
LJ222-0024|you will see that it twirls or revolves round and round exactly like the screw of a steamship.
LJ222-0025|It is difficult to explain what happens without rather advanced mathematics, but it is just the reverse of what happens in the steamer.
LJ222-0026|The machinery in the steamer turns the screw, and the pressure of the water, which is thrown off, forces the boat through the water;
LJ222-0027|in the case of the pineseed, the pressure of the air on the flying wings makes the seed twirl or turn round and round,
LJ222-0028|They often fly to about 80 or 100 yards away from the parent tree.
LJ222-0029|Once upon the ground, the seed has to germinate if it can;
